entry,kegg,comp,name,chebi,uncharged_formula,formula,charge,external
B0_[ext],-,ext,Biomass,-,R,-,-,True
B1_[cyt],-,cyt,Protein component of biomass,-,R,-,-,False
B2_[cyt],-,cyt,DNA component of biomass,-,R,-,-,False
B3_[cyt],-,cyt,RNA component of biomass,-,R,-,-,False
B4_[cyt],-,cyt,Cell wall component of biomass,-,R,-,-,False
B5_[cyt],-,cyt,Lipid component of biomass,-,R,-,-,False
B6_[cyt],-,cyt,Soluble pool component of biomass,-,R,-,-,False
B7_[cyt],-,cyt,inorganic Ion component of biomass,-,R,-,-,False
B8_[cyt],-,cyt,Pigment component of biomass,-,R,-,-,False
C00001_[cax],C00001,cax,H2O,15377,H2O,H2O,0,False
C00001_[cyt],C00001,cyt,H2O,15377,H2O,H2O,0,False
C00001_[ext],C00001,ext,H2O,15377,H2O,H2O,0,True
C00001_[pps],C00001,pps,H2O,15377,H2O,H2O,0,False
C00001_[tll],C00001,tll,H2O,15377,H2O,H2O,0,False
C00002_[cyt],C00002,cyt,ATP,15422,C10H16N5O13P3,C10H13N5O13P3,-3,False
C00003_[cyt],C00003,cyt,NAD+,15846,C21H28N7O14P2,C21H26N7O14P2,-1,False
C00004_[cyt],C00004,cyt,NADH,16908,C21H29N7O14P2,C21H27N7O14P2,-2,False
C00005_[cyt],C00005,cyt,NADPH,16474,C21H30N7O17P3,C21H26N7O17P3,-4,False
C00006_[cyt],C00006,cyt,NADP+,18009,C21H29N7O17P3,C21H25N7O17P3,-3,False
C00007_[cax],C00007,cax,Oxygen,15379,O2,O2,0,False
C00007_[cyt],C00007,cyt,Oxygen,15379,O2,O2,0,False
C00007_[ext],C00007,ext,Oxygen,15379,O2,O2,0,True
C00007_[pps],C00007,pps,Oxygen,15379,O2,O2,0,False
C00007_[tll],C00007,tll,Oxygen,15379,O2,O2,0,False
C00008_[cyt],C00008,cyt,ADP,16761,C10H15N5O10P2,C10H13N5O10P2,-2,False
C00009_[cyt],C00009,cyt,Orthophosphate,18367,H3PO4,HO4P,-2,False
