rID,genes,ec,reaction,kegg,reaction_form,Pathway,evid/relia,comment 
R1,sll0402,2.6.1.1,L-Phenylalanine_[cyt] + 2-Oxoglutarate_[cyt] <=> Phenylpyruvate_[cyt] + L-Glutamate_[cyt],R00694,C00079_[cyt] + C00026_[cyt] <=> C00166_[cyt] + C00025_[cyt],Aromatic Amino Acids,A,
R2,sll1958,2.6.1.9,L-Phenylalanine_[cyt] + 2-Oxoglutarate_[cyt] <=> Phenylpyruvate_[cyt] + L-Glutamate_[cyt],R00694,C00079_[cyt] + C00026_[cyt] <=> C00166_[cyt] + C00025_[cyt],Aromatic Amino Acids,A,
R3,sll0402,2.6.1.1,L-Tyrosine_[cyt] + 2-Oxoglutarate_[cyt] <=> 3-(4-Hydroxyphenyl)pyruvate_[cyt] + L-Glutamate_[cyt],R00734,C00082_[cyt] + C00026_[cyt] <=> C01179_[cyt] + C00025_[cyt],Aromatic Amino Acids,A,
R4,sll0934,2.5.1.54,Phosphoenolpyruvate_[cyt] + D-Erythrose 4-phosphate_[cyt] + H2O_[cyt] => 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate_[cyt] + Orthophosphate_[cyt],R01826,C00074_[cyt] + C00279_[cyt] + C00001_[cyt] => C04691_[cyt] + C00009_[cyt],Aromatic Amino Acids,A,
R5,slr2130,4.2.3.4,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate_[cyt] => 3-Dehydroquinate_[cyt] + Orthophosphate_[cyt],R03083,C04691_[cyt] => C00944_[cyt] + C00009_[cyt],Aromatic Amino Acids,A,
R6,sll1112,4.2.1.10,3-Dehydroquinate_[cyt] <=> 3-Dehydroshikimate_[cyt] + H2O_[cyt],R03084,C00944_[cyt] <=> C02637_[cyt] + C00001_[cyt],Aromatic Amino Acids,A,
R7,slr1559,1.1.1.25,Shikimate_[cyt] + NADP+_[cyt] <=> 3-Dehydroshikimate_[cyt] + NADPH_[cyt] + H+_[cyt],R02413,C00493_[cyt] + C00006_[cyt] <=> C02637_[cyt] + C00005_[cyt] + C00080_[cyt],Aromatic Amino Acids,A,
R8,sll1669,2.7.1.71,ATP_[cyt] + Shikimate_[cyt] => ADP_[cyt] + Shikimate 3-phosphate_[cyt],R02412,C00002_[cyt] + C00493_[cyt] => C00008_[cyt] + C03175_[cyt],Aromatic Amino Acids,A,
R9,slr0444,2.5.1.19,Phosphoenolpyruvate_[cyt] + Shikimate 3-phosphate_[cyt] <=> Orthophosphate_[cyt] + 5-O-(1-Carboxyvinyl)-3-phosphoshikimate_[cyt],R03460,C00074_[cyt] + C03175_[cyt] <=> C00009_[cyt] + C01269_[cyt],Aromatic Amino Acids,A,
R10,sll1747,4.2.3.5,5-O-(1-Carboxyvinyl)-3-phosphoshikimate_[cyt] => Chorismate_[cyt] + Orthophosphate_[cyt],R01714,C01269_[cyt] => C00251_[cyt] + C00009_[cyt],Aromatic Amino Acids,A,
R11,"slr0055, slr0738",4.1.3.27,Chorismate_[cyt] + L-Glutamine_[cyt] => Anthranilate_[cyt] + Pyruvate_[cyt] + L-Glutamate_[cyt],R00986,C00251_[cyt] + C00064_[cyt] => C00108_[cyt] + C00022_[cyt] + C00025_[cyt],Aromatic Amino Acids,A,
R12,"slr0055, slr0738",4.1.3.27,Chorismate_[cyt] + NH3_[cyt] => Anthranilate_[cyt] + Pyruvate_[cyt] + H2O_[cyt],R00985,C00251_[cyt] + C00014_[cyt] => C00108_[cyt] + C00022_[cyt] + C00001_[cyt],Aromatic Amino Acids,A,
R13,slr1867,2.4.2.18,N-(5-Phospho-D-ribosyl)anthranilate_[cyt] + Diphosphate_[cyt] <= Anthranilate_[cyt] + 5-Phospho-alpha-D-ribose 1-diphosphate_[cyt],R01073,C04302_[cyt] + C00013_[cyt] <= C00108_[cyt] + C00119_[cyt],Aromatic Amino Acids,A,
R14,sll0356,5.3.1.24,N-(5-Phospho-D-ribosyl)anthranilate_[cyt] => 1-(2-Carboxyphenylamino)-1'-deoxy-D-ribulose 5'-phosphate_[cyt],R03509,C04302_[cyt] => C01302_[cyt],Aromatic Amino Acids,A,
R15,slr0546,4.1.1.48,1-(2-Carboxyphenylamino)-1'-deoxy-D-ribulose 5'-phosphate_[cyt] => Indoleglycerol phosphate_[cyt] + CO2_[cyt] + H2O_[cyt],R03508,C01302_[cyt] => C03506_[cyt] + C00011_[cyt] + C00001_[cyt],Aromatic Amino Acids,A,
R16,"slr0543, slr0966",4.2.1.20,Indoleglycerol phosphate_[cyt] => Indole_[cyt] + D-Glyceraldehyde 3-phosphate_[cyt],R02340,C03506_[cyt] => C00463_[cyt] + C00118_[cyt],Aromatic Amino Acids,A,
R17,"slr0543, slr0966",4.2.1.20,L-Serine_[cyt] + Indoleglycerol phosphate_[cyt] => L-Tryptophan_[cyt] + D-Glyceraldehyde 3-phosphate_[cyt] + H2O_[cyt],R02722,C00065_[cyt] + C03506_[cyt] => C00078_[cyt] + C00118_[cyt] + C00001_[cyt],Aromatic Amino Acids,A,
R18,"slr0543, slr0966",4.2.1.20,L-Serine_[cyt] + Indole_[cyt] <=> L-Tryptophan_[cyt] + H2O_[cyt],R00674,C00065_[cyt] + C00463_[cyt] <=> C00078_[cyt] + C00001_[cyt],Aromatic Amino Acids,A,
R19,sll0109,5.4.99.5,Chorismate_[cyt] <=> Prephenate_[cyt],R01715,C00251_[cyt] <=> C00254_[cyt],Aromatic Amino Acids,A,
R20,sll1662,4.2.1.51,Prephenate_[cyt] => Phenylpyruvate_[cyt] + H2O_[cyt] + CO2_[cyt],R01373,C00254_[cyt] => C00166_[cyt] + C00001_[cyt] + C00011_[cyt],Aromatic Amino Acids,A,
R21,slr2081,1.3.1.12,Prephenate_[cyt] + NAD+_[cyt] => 3-(4-Hydroxyphenyl)pyruvate_[cyt] + CO2_[cyt] + NADH_[cyt] + H+_[cyt],R01728,C00254_[cyt] + C00003_[cyt] => C01179_[cyt] + C00011_[cyt] + C00004_[cyt] + C00080_[cyt],Aromatic Amino Acids,A,
R22,sll0938,2.6.1.11,N-Acetylornithine_[cyt] + 2-Oxoglutarate_[cyt] <=> N-Acetyl-L-glutamate 5-semialdehyde_[cyt] + L-Glutamate_[cyt],R02283,C00437_[cyt] + C00026_[cyt] <=> C01250_[cyt] + C00025_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R23,slr1022,2.6.1.11,N-Acetylornithine_[cyt] + 2-Oxoglutarate_[cyt] <=> N-Acetyl-L-glutamate 5-semialdehyde_[cyt] + L-Glutamate_[cyt],R02283,C00437_[cyt] + C00026_[cyt] <=> C01250_[cyt] + C00025_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R24,"sll1027, sll1502",1.4.1.14,2 L-Glutamate_[cyt] + NAD+_[cyt] <= L-Glutamine_[cyt] + 2-Oxoglutarate_[cyt] + NADH_[cyt] + H+_[cyt],R00093,2 C00025_[cyt] + C00003_[cyt] <= C00064_[cyt] + C00026_[cyt] + C00004_[cyt] + C00080_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R25,slr0288,6.3.1.2,ATP_[cyt] + L-Glutamate_[cyt] + NH3_[cyt] => ADP_[cyt] + Orthophosphate_[cyt] + L-Glutamine_[cyt],R00253,C00002_[cyt] + C00025_[cyt] + C00014_[cyt] => C00008_[cyt] + C00009_[cyt] + C00064_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R26,slr1756,6.3.1.2,ATP_[cyt] + L-Glutamate_[cyt] + NH3_[cyt] => ADP_[cyt] + Orthophosphate_[cyt] + L-Glutamine_[cyt],R00253,C00002_[cyt] + C00025_[cyt] + C00014_[cyt] => C00008_[cyt] + C00009_[cyt] + C00064_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R27,slr2079,3.5.1.2,L-Glutamine_[cyt] + H2O_[cyt] <=> L-Glutamate_[cyt] + NH3_[cyt],R00256,C00064_[cyt] + C00001_[cyt] <=> C00025_[cyt] + C00014_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R28,slr0710,1.4.1.4,L-Glutamate_[cyt] + NADP+_[cyt] + H2O_[cyt] <=> 2-Oxoglutarate_[cyt] + NH3_[cyt] + NADPH_[cyt] + H+_[cyt],R00248,C00025_[cyt] + C00006_[cyt] + C00001_[cyt] <=> C00026_[cyt] + C00014_[cyt] + C00005_[cyt] + C00080_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R29,slr2035,2.7.2.11,ATP_[cyt] + L-Glutamate_[cyt] => ADP_[cyt] + L-Glutamyl 5-phosphate_[cyt],R00239,C00002_[cyt] + C00025_[cyt] => C00008_[cyt] + C03287_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R30,sll0373,1.2.1.41,L-Glutamate 5-semialdehyde_[cyt] + Orthophosphate_[cyt] + NADP+_[cyt] <= L-Glutamyl 5-phosphate_[cyt] + NADPH_[cyt] + H+_[cyt],R03313,C01165_[cyt] + C00009_[cyt] + C00006_[cyt] <= C03287_[cyt] + C00005_[cyt] + C00080_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R31,sll0461,1.2.1.41,L-Glutamate 5-semialdehyde_[cyt] + Orthophosphate_[cyt] + NADP+_[cyt] <= L-Glutamyl 5-phosphate_[cyt] + NADPH_[cyt] + H+_[cyt],R03313,C01165_[cyt] + C00009_[cyt] + C00006_[cyt] <= C03287_[cyt] + C00005_[cyt] + C00080_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R32,sll1561,1.5.1.12,L-Glutamate 5-semialdehyde_[cyt] + NAD+_[cyt] + H2O_[cyt] => L-Glutamate_[cyt] + NADH_[cyt] + H+_[cyt],R00245,C01165_[cyt] + C00003_[cyt] + C00001_[cyt] => C00025_[cyt] + C00004_[cyt] + C00080_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R33,sll1561,1.5.1.12,(S)-1-Pyrroline-5-carboxylate_[cyt] + NAD+_[cyt] + 2 H2O_[cyt] => L-Glutamate_[cyt] + NADH_[cyt] + H+_[cyt],R00707,C03912_[cyt] + C00003_[cyt] + 2 C00001_[cyt] => C00025_[cyt] + C00004_[cyt] + C00080_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R34,sll1561,1.5.99.8,L-Proline_[cyt] +  PQ_[tlm] => (S)-1-Pyrroline-5-carboxylate_[cyt] + PQH2_[tlm],-,C00148_[cyt] + C10385_[tlm] => C03912_[cyt] + C16695_[tlm],"Arginine, Glutamate, Glutamine and Proline",A,Final electron acceptor is likely to be Q; Rasmusson et al. 2008
R35,sll1561,1.5.99.8,L-Proline_[cyt] +  PQ_[cym] => (S)-1-Pyrroline-5-carboxylate_[cyt] + PQH2_[cym],-,C00148_[cyt] + C10385_[cym] => C03912_[cyt] + C16695_[cym],"Arginine, Glutamate, Glutamine and Proline",A,Final electron acceptor is likely to be Q; Rasmusson et al. 2008
R36,slr0661,1.5.1.2,L-Proline_[cyt] + NADP+_[cyt] <= (S)-1-Pyrroline-5-carboxylate_[cyt] + NADPH_[cyt] + H+_[cyt],R01251,C00148_[cyt] + C00006_[cyt] <= C03912_[cyt] + C00005_[cyt] + C00080_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R37,sll1883,2.3.1.1,Acetyl-CoA_[cyt] + L-Glutamate_[cyt] => CoA_[cyt] + N-Acetyl-L-glutamate_[cyt],R00259,C00024_[cyt] + C00025_[cyt] => C00010_[cyt] + C00624_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R38,sll1883,2.3.1.35,N-Acetylornithine_[cyt] + L-Glutamate_[cyt] => L-Ornithine_[cyt] + N-Acetyl-L-glutamate_[cyt],R02282,C00437_[cyt] + C00025_[cyt] => C00077_[cyt] + C00624_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R39,sll0100,3.5.1.14,N-Acetylornithine_[cyt] + H2O_[cyt] <=> Acetate_[cyt] + L-Ornithine_[cyt],R00669,C00437_[cyt] + C00001_[cyt] <=> C00033_[cyt] + C00077_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,N-acyl-L-amino acid amidohydrolase
R40,slr1653,3.5.1.14,N-Acetylornithine_[cyt] + H2O_[cyt] <=> Acetate_[cyt] + L-Ornithine_[cyt],R00669,C00437_[cyt] + C00001_[cyt] <=> C00033_[cyt] + C00077_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R41,-,-,(S)-1-Pyrroline-5-carboxylate_[cyt] + H2O_[cyt] <=> L-Glutamate 5-semialdehyde_[cyt],-,C03912_[cyt] + C00001_[cyt] <=> C01165_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,spontaneous
R42,slr1898,2.7.2.8,ATP_[cyt] + N-Acetyl-L-glutamate_[cyt] => ADP_[cyt] + N-Acetyl-L-glutamate 5-phosphate_[cyt],R02649,C00002_[cyt] + C00624_[cyt] => C00008_[cyt] + C04133_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R43,sll0080,1.2.1.38,N-Acetyl-L-glutamate 5-semialdehyde_[cyt] + Orthophosphate_[cyt] + NADP+_[cyt] <=> N-Acetyl-L-glutamate 5-phosphate_[cyt] + NADPH_[cyt] + H+_[cyt],R03443,C01250_[cyt] + C00009_[cyt] + C00006_[cyt] <=> C04133_[cyt] + C00005_[cyt] + C00080_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R44,sll0902,2.1.3.3,Carbamoyl phosphate_[cyt] + L-Ornithine_[cyt] <=> Orthophosphate_[cyt] + L-Citrulline_[cyt],R01398,C00169_[cyt] + C00077_[cyt] <=> C00009_[cyt] + C00327_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R45,slr1133,4.3.2.1,N-(L-Arginino)succinate_[cyt] => Fumarate_[cyt] + L-Arginine_[cyt],R01086,C03406_[cyt] => C00122_[cyt] + C00062_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R46,slr0585,6.3.4.5,ATP_[cyt] + L-Citrulline_[cyt] + L-Aspartate_[cyt] => AMP_[cyt] + Diphosphate_[cyt] + N-(L-Arginino)succinate_[cyt],R01954,C00002_[cyt] + C00327_[cyt] + C00049_[cyt] => C00020_[cyt] + C00013_[cyt] + C03406_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R47,"sll0370, sll1498, slr1616",6.3.5.5,2 ATP_[cyt] + L-Glutamine_[cyt] + HCO3-_[cyt] + H2O_[cyt] + H+_[cyt] => 2 ADP_[cyt] + Orthophosphate_[cyt] + L-Glutamate_[cyt] + Carbamoyl phosphate_[cyt],R00575,2 C00002_[cyt] + C00064_[cyt] + C00288_[cyt] + C00001_[cyt] + C00080_[cyt] => 2 C00008_[cyt] + C00009_[cyt] + C00025_[cyt] + C00169_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R48,sll0573,2.7.2.2,ATP_[cyt] + NH3_[cyt] + CO2_[cyt] <=> ADP_[cyt] + Carbamoyl phosphate_[cyt],R00150,C00002_[cyt] + C00014_[cyt] + C00011_[cyt] <=> C00008_[cyt] + C00169_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R49,sll1454,1.7.7.2,Nitrite_[cyt] + H2O_[cyt] + 2 Oxidized ferredoxin_[cyt] <= Nitrate_[cyt] + 2 Reduced ferredoxin_[cyt] + 2 H+_[cyt],R00791,C00088_[cyt] + C00001_[cyt] + 2 C00139_[cyt] <= C00244_[cyt] + 2 C00138_[cyt] + 2 C00080_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R50,slr0898,1.7.7.1,NH3_[cyt] + 2 H2O_[cyt] + 6 Oxidized ferredoxin_[cyt] <= Nitrite_[cyt] + 6 Reduced ferredoxin_[cyt] + 7 H+_[cyt],R00790,C00014_[cyt] + 2 C00001_[cyt] + 6 C00139_[cyt] <= C00088_[cyt] + 6 C00138_[cyt] + 7 C00080_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R51,sll1499,1.4.7.1,2 L-Glutamate_[cyt] + 2 Oxidized ferredoxin_[cyt] <= L-Glutamine_[cyt] + 2-Oxoglutarate_[cyt] + 2 Reduced ferredoxin_[cyt] + 2 H+_[cyt],R00021,2 C00025_[cyt] + 2 C00139_[cyt] <= C00064_[cyt] + C00026_[cyt] + 2 C00138_[cyt] + 2 C00080_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R52,sll1336,3.5.3.6,L-Arginine_[cyt] + H2O_[cyt] => L-Citrulline_[cyt] + NH3_[cyt],R00552,C00062_[cyt] + C00001_[cyt] => C00327_[cyt] + C00014_[cyt],"Arginine, Glutamate, Glutamine and Proline",B,Schriek et al. 2007 
R53,slr1022,2.6.1.13,L-Ornithine_[cyt] + 2-Oxoglutarate_[cyt] <=> L-Glutamate 5-semialdehyde_[cyt] + L-Glutamate_[cyt],R00667,C00077_[cyt] + C00026_[cyt] <=> C01165_[cyt] + C00025_[cyt],"Arginine, Glutamate, Glutamine and Proline",B,Schriek et al. 2007
R54,slr0782,1.4.3.4,L-Arginine_[cyt] + PQ_[tlm] + H2O_[cyt] => 5-Guanidino-2-oxopentanoate_[cyt] + NH3_[cyt] + PQH2_[tlm],-,C00062_[cyt] + C10385_[tlm] + C00001_[cyt] => C03771_[cyt] + C00014_[cyt] + C16695_[tlm],"Arginine, Glutamate, Glutamine and Proline",B,"Arginine dehydrogenase, Schriek et al. 2009 "
R55,slr0782,1.4.3.4,L-Arginine_[cyt] + PQ_[cym] + H2O_[cyt] => 5-Guanidino-2-oxopentanoate_[cyt] + NH3_[cyt] + PQH2_[cym],-,C00062_[cyt] + C10385_[cym] + C00001_[cyt] => C03771_[cyt] + C00014_[cyt] + C16695_[cym],"Arginine, Glutamate, Glutamine and Proline",B,"Arginine dehydrogenase, Schriek et al. 2009 "
R56,-,-,5-Guanidino-2-oxopentanoate_[cyt] + H2O2_[cyt] => 4-Guanidinobutanoate_[cyt] + CO2_[cyt] + H2O_[cyt],-,C03771_[cyt] + C00027_[cyt] => C01035_[cyt] + C00011_[cyt] + C00001_[cyt],"Arginine, Glutamate, Glutamine and Proline",B,"spontaneous, Schriek et al. 2007"
R57,sll1077 or sll0228,3.5.3.7,4-Guanidinobutanoate_[cyt] + H2O_[cyt] => 4-Aminobutanoate_[cyt] + Urea_[cyt],R01990,C01035_[cyt] + C00001_[cyt] => C00334_[cyt] + C00086_[cyt],"Arginine, Glutamate, Glutamine and Proline",B,Schriek et al. 2007
R58,"sll0420, sll1750, slr1256",3.5.1.5,Urea_[cyt] + H2O_[cyt] => CO2_[cyt] + 2 NH3_[cyt],R00131,C00086_[cyt] + C00001_[cyt] => C00011_[cyt] + 2 C00014_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R59,sll0428 or sll0191,1.14.11.2,L-Proline_[cyt] + 2-Oxoglutarate_[cyt] + Oxygen_[cyt] => trans-4-Hydroxy-L-proline_[cyt] + Succinate_[cyt] + CO2_[cyt],R01252,C00148_[cyt] + C00026_[cyt] + C00007_[cyt] => C01157_[cyt] + C00042_[cyt] + C00011_[cyt],"Arginine, Glutamate, Glutamine and Proline",C,"BLAST search: sll0428 57 % identity, 257 score and E-value 8 e-70 and sll0191 48 % identity, 197 score and E-value 8 e-52  prolyl 4-hydroxylase from Trichodesmium erythraeum IMS101"
R60,slr0661,1.5.1.2,trans-4-Hydroxy-L-proline_[cyt] + NADP+_[cyt] => L-1-Pyrroline-3-hydroxy-5-carboxylate_[cyt] + NADPH_[cyt] + H+_[cyt],R03293,C01157_[cyt] + C00006_[cyt] => C04281_[cyt] + C00005_[cyt] + C00080_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R61,sll1561,1.5.1.12,L-1-Pyrroline-3-hydroxy-5-carboxylate_[cyt] + NAD+_[cyt] + 2 H2O_[cyt] => L-erythro-4-Hydroxyglutamate_[cyt] + NADH_[cyt] + H+_[cyt],R04444,C04281_[cyt] + C00003_[cyt] + 2 C00001_[cyt] => C05947_[cyt] + C00004_[cyt] + C00080_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R62,sll0402,2.6.1.1,L-erythro-4-Hydroxyglutamate_[cyt] + 2-Oxoglutarate_[cyt] <=> D-4-Hydroxy-2-oxoglutarate_[cyt] + L-Glutamate_[cyt],R05052,C05947_[cyt] + C00026_[cyt] <=> C05946_[cyt] + C00025_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R63,sll0107,4.1.3.16,D-4-Hydroxy-2-oxoglutarate_[cyt] => Pyruvate_[cyt] + Glyoxylate_[cyt],R00471,C05946_[cyt] => C00022_[cyt] + C00048_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,
R64,"slr0662, slr1312",4.1.1.19,L-Arginine_[cyt] => Agmatine_[cyt] + CO2_[cyt],R00566,C00062_[cyt] => C00179_[cyt] + C00011_[cyt],"Arginine, Glutamate, Glutamine and Proline",A,Schriekt et al. 2007
R65,slr2072,4.3.1.19,L-Threonine_[cyt] => 2-Oxobutanoate_[cyt] + NH3_[cyt],R00996,C00188_[cyt] => C00109_[cyt] + C00014_[cyt],"Asparagine, Aspartate, Lysine and Threonine",A,
R66,sll1172,4.2.3.1,O-Phospho-L-homoserine_[cyt] + H2O_[cyt] => L-Threonine_[cyt] + Orthophosphate_[cyt],R01466,C01102_[cyt] + C00001_[cyt] => C00188_[cyt] + C00009_[cyt],"Asparagine, Aspartate, Lysine and Threonine",A,
R67,sll1688,4.2.3.1,O-Phospho-L-homoserine_[cyt] + H2O_[cyt] => L-Threonine_[cyt] + Orthophosphate_[cyt],R01466,C01102_[cyt] + C00001_[cyt] => C00188_[cyt] + C00009_[cyt],"Asparagine, Aspartate, Lysine and Threonine",A,
R68,sll1760,2.7.1.39,ATP_[cyt] + L-Homoserine_[cyt] => ADP_[cyt] + O-Phospho-L-homoserine_[cyt],R01771,C00002_[cyt] + C00263_[cyt] => C00008_[cyt] + C01102_[cyt],"Asparagine, Aspartate, Lysine and Threonine",A,
R69,sll0455,1.1.1.3,L-Homoserine_[cyt] + NADP+_[cyt] <= L-Aspartate 4-semialdehyde_[cyt] + NADPH_[cyt] + H+_[cyt],R01775,C00263_[cyt] + C00006_[cyt] <= C00441_[cyt] + C00005_[cyt] + C00080_[cyt],"Asparagine, Aspartate, Lysine and Threonine",A,
R70,slr0549,1.2.1.11,L-Aspartate 4-semialdehyde_[cyt] + Orthophosphate_[cyt] + NADP+_[cyt] <= 4-Phospho-L-aspartate_[cyt] + NADPH_[cyt] + H+_[cyt],R02291,C00441_[cyt] + C00009_[cyt] + C00006_[cyt] <= C03082_[cyt] + C00005_[cyt] + C00080_[cyt],"Asparagine, Aspartate, Lysine and Threonine",A,
R71,slr0657,2.7.2.4,ATP_[cyt] + L-Aspartate_[cyt] => ADP_[cyt] + 4-Phospho-L-aspartate_[cyt],R00480,C00002_[cyt] + C00049_[cyt] => C00008_[cyt] + C03082_[cyt],"Asparagine, Aspartate, Lysine and Threonine",A,
R72,slr0550,4.2.1.52,"L-Aspartate 4-semialdehyde_[cyt] + Pyruvate_[cyt] => L-2,3-Dihydrodipicolinate_[cyt] + 2 H2O_[cyt]",R02292,C00441_[cyt] + C00022_[cyt] => C03340_[cyt] + 2 C00001_[cyt],"Asparagine, Aspartate, Lysine and Threonine",A,
R73,sll1058,1.3.1.26,"2,3,4,5-Tetrahydrodipicolinate_[cyt] + NADP+_[cyt] <= L-2,3-Dihydrodipicolinate_[cyt] + NADPH_[cyt] + H+_[cyt]",R04199,C03972_[cyt] + C00006_[cyt] <= C03340_[cyt] + C00005_[cyt] + C00080_[cyt],"Asparagine, Aspartate, Lysine and Threonine",A,
R74,sll0480,2.6.1.83,"LL-2,6-Diaminoheptanedioate_[cyt] + 2-Oxoglutarate_[cyt] <= 2,3,4,5-Tetrahydrodipicolinate_[cyt] + L-Glutamate_[cyt] + H2O_[cyt]",R07613,C00666_[cyt] + C00026_[cyt] <= C03972_[cyt] + C00025_[cyt] + C00001_[cyt],"Asparagine, Aspartate, Lysine and Threonine",A,Hudson et al. 2006
